dt,client_id,country,orders,value
2025-08-07,306,USA,1,283.89
2025-07-12,145,France,3,1160.71
2025-07-17,753,Mexico,3,291.32
2025-10-11,322,Japan,1,357.67
2025-07-31,930,France,2,76.23
2025-07-08,583,India,1,161.61
2025-09-02,963,Mexico,3,783.54
2025-06-20,846,Mexico,2,51.19
2025-09-05,452,Canada,1,498.84
2025-06-18,153,Canada,3,386.39
2025-09-03,323,India,3,830.35
2025-09-20,145,France,4,98.52
2025-09-09,770,Mexico,2,688.39
2025-07-13,206,USA,5,1298.12
2025-10-24,973,India,1,241.6
2025-07-07,6,Mexico,3,1439.76
2025-06-11,431,UK,1,468.5
2025-10-07,395,Germany,1,476.7
2025-11-02,748,India,4,135.61
2025-06-06,981,Brazil,5,2244.5
2025-07-17,822,UK,2,458.24
2025-09-23,456,Japan,2,849.88
2025-07-09,435,France,1,204.75
2025-09-21,126,USA,3,959.39
2025-07-21,457,Japan,1,97.97
2025-11-10,999,USA,1,42.25
2025-09-16,678,India,5,165.07
2025-08-07,446,Mexico,1,436.69
2025-11-07,994,Japan,5,1320.97
2025-10-13,278,France,1,247.12
2025-11-01,583,India,2,186.01
2025-11-08,630,Japan,4,1738.1
2025-08-30,793,Germany,2,664.2
2025-10-12,872,France,2,357.92
2025-07-09,934,USA,1,340.82
2025-07-07,112,Japan,2,628.97
2025-08-14,688,India,3,1101.81
2025-11-13,239,Brazil,3,1435.48
2025-09-28,76,Brazil,3,1486.76
2025-10-18,594,Germany,2,754.73
2025-11-26,100,Brazil,2,818.59
2025-09-19,841,Germany,2,926.81
2025-06-09,365,Japan,3,1399.74
2025-11-17,622,UK,5,1771.34
2025-10-28,146,USA,1,361.81
2025-06-14,76,Brazil,3,166.23
2025-09-28,512,Canada,3,432.68
2025-06-14,338,Japan,2,772.01
2025-09-15,419,Australia,3,1473.55
2025-11-05,420,India,5,1042.64
2025-06-18,909,Germany,2,330.54
2025-08-24,977,Mexico,4,1319.73
2025-06-20,831,Japan,3,45.32
2025-09-19,723,Germany,2,806.97
2025-06-29,566,UK,1,293.41
2025-09-09,424,Japan,5,520.93
2025-07-30,370,Mexico,1,15.95
2025-10-01,848,Canada,5,1515.85
2025-08-27,32,Canada,3,1145.77
2025-08-09,260,USA,3,1167.71
2025-11-13,660,Canada,1,486.03
2025-11-06,381,France,4,756.81
2025-11-24,420,India,4,365.04
2025-10-15,858,India,5,262.2
2025-07-25,422,India,3,195.17
2025-08-22,30,India,1,17.64
2025-09-07,673,Canada,1,217.63
2025-10-08,183,France,2,479.45
2025-09-13,770,Mexico,1,225.3
2025-10-16,230,Brazil,1,14.92
2025-10-03,779,UK,1,444.03
2025-09-07,49,Australia,1,205.22
2025-11-07,532,Mexico,1,100.85
2025-10-25,71,Mexico,3,1486.6
2025-10-15,96,India,3,1076.13
2025-09-19,511,USA,5,56.19
2025-08-30,489,Australia,2,816.59
2025-09-14,786,France,2,29.08
2025-10-08,399,Brazil,4,53.97
2025-06-17,493,Brazil,3,983.34
2025-10-26,346,Canada,1,229.49
2025-07-25,664,Japan,1,434.49
2025-06-26,768,Mexico,5,1481.02
2025-11-28,45,UK,1,471.62
2025-07-22,429,Japan,3,146.29
2025-10-12,466,India,1,89.57
2025-08-29,94,Germany,5,2048.31
2025-07-12,310,Germany,3,1342.54
2025-07-20,9,Japan,4,1136.27
2025-06-13,624,France,1,148.05
2025-07-16,617,India,2,888.05
2025-11-06,159,Brazil,5,344.5
2025-10-11,458,Canada,1,151.59
2025-06-24,155,France,5,918.61
2025-07-17,735,Canada,1,250.52
2025-10-18,620,UK,4,920.52
2025-10-18,511,USA,2,263.0
2025-11-09,146,USA,5,950.32
2025-10-25,58,Australia,2,878.8
2025-09-08,952,Canada,1,269.33
2025-11-10,485,USA,5,697.87
2025-08-14,792,France,3,483.97
2025-07-13,151,USA,4,714.62
2025-09-25,598,Canada,4,326.79
2025-08-22,793,Germany,1,226.16
2025-08-25,72,India,2,77.22
2025-10-09,532,Mexico,3,1070.93
2025-07-13,782,Canada,4,1613.12
2025-07-23,714,France,3,362.53
2025-07-04,398,Australia,5,246.02
2025-08-10,544,India,5,1172.08
2025-07-03,223,India,3,463.59
2025-07-18,103,Canada,1,269.57
2025-07-31,108,Japan,1,495.2
2025-10-26,367,Japan,2,907.03
2025-10-30,469,Germany,5,135.83
2025-06-10,402,Australia,5,65.09
2025-08-25,200,Mexico,4,1892.94
2025-10-31,53,USA,3,379.33
2025-08-08,704,Germany,2,573.51
2025-08-13,231,UK,3,1104.41
2025-09-23,898,Australia,3,1316.98
2025-11-02,464,Australia,3,1142.03
2025-07-03,777,Brazil,4,1862.3
2025-06-14,594,Germany,5,1270.89
2025-09-19,505,Canada,2,832.24
2025-11-05,520,Mexico,4,1567.26
2025-11-16,790,Japan,2,38.73
2025-09-10,655,Japan,5,156.2
2025-08-12,123,Australia,3,310.13
2025-07-23,38,Germany,4,637.89
2025-06-28,395,Germany,5,1359.93
2025-06-04,698,Mexico,4,1124.57
2025-07-22,698,Mexico,5,1357.84
2025-08-17,506,Germany,3,954.7
2025-10-01,356,UK,2,305.24
2025-06-28,297,France,5,1649.62
2025-10-04,203,Germany,4,1995.76
2025-06-08,54,Germany,4,487.19
2025-06-28,177,Mexico,2,573.3
2025-09-21,279,Japan,4,1092.77
2025-07-21,700,Mexico,3,289.17
2025-06-17,895,UK,1,130.52
2025-10-05,539,Japan,3,880.05
2025-11-02,128,Japan,2,418.49
2025-09-28,557,Japan,1,327.31
2025-11-02,477,Germany,3,218.62
2025-09-11,223,India,4,1806.72
2025-09-26,967,Mexico,1,418.67
2025-07-15,710,Canada,2,117.37
2025-11-10,76,Brazil,5,665.61
2025-09-06,429,Japan,1,276.52
2025-06-10,245,Brazil,3,351.49
2025-06-12,579,Germany,2,275.7
2025-10-21,702,Mexico,1,384.43
2025-07-12,773,Canada,4,541.54
2025-10-11,751,India,1,140.44
2025-10-08,584,France,5,1111.89
2025-08-11,662,Brazil,5,316.81
2025-07-05,805,Japan,1,168.3
2025-10-21,604,UK,3,169.2
2025-06-17,233,Germany,3,1409.7
2025-07-24,589,Canada,1,34.64
2025-10-05,147,Mexico,2,223.74
2025-09-02,690,USA,2,687.45
2025-08-05,989,Mexico,3,775.04
2025-09-13,837,France,1,55.63
2025-08-28,454,India,5,540.64
2025-11-13,710,Canada,4,96.14
2025-09-14,656,Japan,2,30.22
2025-10-22,519,Germany,5,257.7
2025-08-18,456,Japan,5,2276.91
2025-06-30,678,India,2,667.5
2025-07-18,522,Germany,3,898.58
2025-08-23,937,Germany,3,1439.83
2025-10-22,158,Germany,5,1268.08
2025-07-07,795,USA,5,1322.06
2025-11-28,716,France,5,1289.28
2025-10-26,484,Australia,4,1070.04
2025-07-03,185,Brazil,3,1433.28
2025-10-15,500,Australia,5,2248.81
2025-06-28,434,UK,5,2439.04
2025-11-05,121,Australia,5,349.25
2025-10-05,286,Australia,2,424.31
2025-08-08,565,Brazil,5,1207.29
2025-07-11,174,Japan,2,917.03
2025-09-06,258,France,5,189.01
2025-06-29,197,Mexico,4,1451.37
2025-11-08,601,Japan,4,1501.26
2025-08-22,398,Australia,4,259.49
2025-07-15,96,India,5,1512.99
2025-09-15,62,France,4,625.8
2025-07-08,233,Germany,2,999.1
2025-08-09,27,Australia,1,63.9
2025-09-18,869,Canada,1,236.64
2025-10-17,548,USA,3,749.55
2025-07-12,853,Brazil,3,595.12
2025-08-02,233,Germany,4,907.7
2025-07-07,849,UK,5,125.6
2025-09-04,935,France,3,467.49
2025-07-29,674,Australia,2,55.7
2025-06-09,63,USA,1,299.5
2025-08-09,490,Australia,4,692.21
2025-11-25,288,UK,3,421.25
2025-09-26,105,UK,2,884.05
2025-09-22,913,Canada,3,1464.09
2025-07-30,971,Germany,5,815.9
2025-11-13,582,Mexico,2,468.97
2025-10-22,643,Mexico,2,945.68
2025-09-26,174,Japan,3,539.02
2025-10-17,793,Germany,4,241.36
2025-11-16,959,UK,3,894.03
2025-06-23,906,Japan,2,428.19
2025-07-22,878,India,4,1881.22
2025-06-10,279,Japan,5,2262.45
2025-09-06,205,India,2,367.56
2025-10-03,946,Japan,1,269.27
2025-08-10,815,Germany,1,496.61
2025-06-23,816,Brazil,4,578.59
2025-10-23,248,Canada,5,142.39
2025-11-13,599,France,4,1104.52
2025-06-16,528,Canada,5,2342.25
2025-07-18,52,France,2,624.66
2025-09-05,347,France,1,187.37
2025-06-27,464,Australia,1,170.59
2025-09-15,302,Canada,2,389.87
2025-10-25,513,Brazil,3,1044.82
2025-07-31,921,Brazil,4,151.12
2025-06-10,562,UK,3,155.17
2025-09-13,699,France,3,85.0
2025-09-17,540,Australia,3,78.09
2025-07-09,330,Canada,5,1623.86
2025-09-27,411,UK,5,1716.64
2025-06-02,86,UK,2,571.17
2025-10-29,679,Germany,3,191.73
2025-06-06,443,Japan,5,284.73
2025-10-31,5,France,3,48.21
2025-07-31,588,UK,1,198.22
2025-08-28,886,Canada,2,491.5
2025-06-22,536,Mexico,1,205.99
2025-10-17,219,Australia,4,1172.09
2025-09-13,888,India,5,1303.64
2025-06-14,845,UK,2,437.65
2025-06-18,553,Canada,3,907.81
2025-09-06,964,Brazil,1,224.47
2025-08-30,321,India,2,764.32
2025-11-10,963,Mexico,5,294.92
2025-08-18,899,Brazil,3,201.61
2025-07-27,798,Brazil,5,2307.1
2025-07-21,339,Germany,5,341.41
2025-07-20,114,Australia,2,611.81
2025-06-24,101,Canada,5,1383.82
2025-11-08,57,Australia,4,773.86
2025-10-17,996,Japan,4,1877.2
2025-10-14,703,India,3,105.5
2025-10-30,685,Germany,1,381.07
2025-07-26,54,Germany,2,379.57
2025-09-10,777,Brazil,3,211.25
2025-10-02,352,Australia,2,418.76
2025-08-17,256,Australia,4,839.85
2025-10-02,335,USA,3,1319.16
2025-11-26,270,Mexico,1,125.85
2025-07-18,690,USA,5,396.29
2025-06-30,257,Germany,3,1281.63
2025-10-26,739,India,2,417.4
2025-07-27,608,Japan,3,842.19
2025-06-28,589,Canada,5,643.73
2025-08-31,737,USA,1,246.55
2025-09-25,231,UK,2,833.86
2025-08-06,656,Japan,3,1156.04
2025-11-11,621,Canada,3,603.12
2025-07-14,681,Japan,4,1995.77
2025-08-04,707,Germany,1,42.55
2025-11-10,524,Japan,5,1265.27
2025-06-10,557,Japan,5,2304.98
2025-08-05,592,India,4,596.99
2025-08-11,213,Australia,1,276.42
2025-09-05,362,Japan,1,47.75
2025-11-03,789,USA,4,1754.46
2025-11-21,404,Mexico,1,454.71
2025-08-14,208,Brazil,3,282.66
2025-10-01,691,France,5,1599.66
2025-06-21,214,Canada,2,704.63
2025-06-13,1,Japan,5,320.49
2025-07-23,532,Mexico,5,1558.61
2025-09-10,784,UK,5,2234.96
2025-07-03,729,France,2,356.97
2025-06-22,501,UK,3,1495.12
2025-09-15,488,UK,4,480.75
2025-07-02,655,Japan,3,516.26
2025-08-08,592,India,4,614.58
2025-08-26,322,Japan,2,343.47
2025-08-18,352,Australia,5,991.51
2025-07-07,39,USA,1,155.94
2025-09-04,221,Germany,4,1690.21
2025-10-13,717,Brazil,3,245.23
2025-08-04,713,Japan,3,1453.68
2025-07-15,497,Brazil,2,186.07
2025-09-25,499,Japan,1,135.02
2025-11-01,999,USA,4,1827.77
2025-08-31,963,Mexico,4,993.3
2025-08-05,38,Germany,5,777.44
2025-08-03,618,Mexico,3,140.04
2025-09-12,381,France,1,140.37
2025-10-23,582,Mexico,3,94.72
2025-11-14,433,Australia,3,40.08
2025-11-07,338,Japan,3,555.36
2025-09-12,668,Australia,2,718.74
2025-10-22,553,Canada,5,2328.77
2025-11-19,426,Brazil,1,428.19
2025-09-09,119,Australia,3,1127.41
2025-06-04,275,Japan,5,304.01
2025-10-01,366,France,1,178.4
2025-06-10,573,France,5,2272.0
2025-10-01,58,Australia,2,945.87
2025-10-29,240,India,1,166.87
2025-07-20,259,Canada,2,677.04
2025-06-19,107,France,4,519.62
2025-10-03,469,Germany,1,209.97
2025-11-02,807,UK,1,132.49
2025-08-26,575,Canada,1,285.74
2025-09-01,437,UK,3,912.23
2025-11-20,863,Brazil,1,290.39
2025-11-03,713,Japan,2,443.52
2025-10-26,458,Canada,1,146.31
2025-08-19,356,UK,1,252.16
2025-09-25,33,Mexico,1,426.38
2025-06-20,94,Germany,2,257.67
2025-06-09,770,Mexico,3,1052.64
2025-10-22,950,Australia,1,190.74
2025-06-25,500,Australia,3,965.62
2025-10-03,497,Brazil,1,220.28
2025-11-21,91,UK,2,168.41
2025-09-07,409,USA,5,526.39
2025-11-08,629,India,1,313.55
2025-07-30,708,India,1,498.94
2025-07-18,854,India,3,920.45
2025-10-01,368,Mexico,3,732.52
2025-07-22,386,France,5,1083.57
2025-10-22,804,Australia,5,803.05
2025-10-06,382,Brazil,4,1645.53
2025-10-25,353,Australia,1,182.67
2025-07-01,686,Germany,3,637.94
2025-09-28,323,India,2,464.58
2025-09-14,893,India,2,360.99
2025-09-09,40,USA,5,2357.8
2025-10-14,545,France,3,100.55
2025-06-12,874,USA,5,1562.46
2025-07-07,751,India,1,338.36
2025-09-10,213,Australia,1,371.99
2025-08-21,92,Mexico,3,480.16
2025-11-10,545,France,5,2424.93
2025-10-19,221,Germany,3,59.96
2025-10-19,17,France,5,1238.93
2025-07-08,56,Brazil,3,1275.28
2025-11-10,289,Mexico,2,784.42
2025-10-24,650,Australia,3,521.31
2025-09-29,875,Australia,4,1817.71
2025-08-24,432,Mexico,4,663.64
2025-09-05,540,Australia,4,817.23
2025-06-26,611,Mexico,4,950.7
2025-06-12,405,USA,2,957.6
2025-08-11,78,Australia,5,962.88
2025-06-18,47,Brazil,3,181.45
2025-11-17,633,UK,3,1165.57
2025-08-16,274,Mexico,4,1463.71
2025-07-21,656,Japan,2,764.58
2025-08-06,667,India,5,1287.66
2025-08-16,95,France,2,646.77
2025-08-31,593,Mexico,4,1903.23
2025-06-23,148,Mexico,1,317.39
2025-07-09,451,Germany,3,293.83
2025-07-22,103,Canada,5,2231.07
2025-08-20,728,Canada,2,676.46
2025-08-10,844,Brazil,3,1020.4
2025-07-06,646,India,5,1621.83
2025-09-20,318,UK,4,1700.67
2025-07-11,2,Australia,1,249.41
2025-08-13,438,Mexico,4,1988.26
2025-08-14,431,UK,2,945.24
2025-08-08,408,Australia,5,218.02
2025-07-20,27,Australia,5,2031.47
2025-06-10,900,Brazil,1,150.81
2025-09-25,853,Brazil,5,2118.79
2025-11-17,201,India,5,2257.64
2025-09-28,243,India,1,148.04
2025-08-11,207,France,2,440.1
2025-06-13,551,France,2,755.32
2025-09-27,438,Mexico,5,300.63
2025-08-14,327,Mexico,3,220.52
2025-11-15,488,UK,1,201.77
2025-07-12,248,Canada,5,1598.5
2025-10-31,513,Brazil,3,521.73
2025-08-31,572,Australia,1,421.92
2025-07-17,102,India,3,1371.09
2025-09-29,941,Germany,1,319.11
2025-08-08,414,France,5,2234.16
2025-09-25,18,Japan,5,656.34
2025-09-27,389,USA,4,828.22
2025-11-08,320,USA,1,323.12
2025-07-11,346,Canada,3,1175.83
2025-09-23,582,Mexico,5,1677.84
2025-10-24,305,USA,2,406.93
2025-10-20,650,Australia,2,991.36
2025-10-13,246,Brazil,2,640.65
2025-10-29,893,India,4,618.83
2025-11-03,102,India,4,216.99
2025-10-11,525,USA,1,393.62
2025-09-08,772,Japan,4,77.12
2025-07-23,80,Brazil,1,62.79
2025-08-09,582,Mexico,2,718.53
2025-10-27,793,Germany,2,575.39
2025-07-31,2,Australia,4,1387.52
2025-07-05,899,Brazil,3,1484.8
2025-07-20,181,USA,3,855.15
2025-07-05,815,Germany,2,259.42
2025-06-19,543,France,4,102.95
2025-08-23,260,USA,1,440.19
2025-06-07,346,Canada,3,959.82
2025-06-05,510,Brazil,4,1454.18
2025-10-02,876,Mexico,1,481.35
2025-10-31,974,France,4,536.25
2025-10-08,554,Australia,4,705.1
2025-07-06,669,Canada,4,1417.64
2025-08-01,87,Mexico,4,1769.04
2025-08-02,591,India,1,136.17
2025-08-04,918,India,3,1021.03
2025-07-01,378,India,5,1172.46
2025-10-19,142,Canada,1,314.55
2025-11-06,963,Mexico,2,61.95
2025-06-26,785,Brazil,1,407.66
2025-08-22,109,Germany,5,2288.08
2025-11-25,561,Australia,1,363.53
2025-10-12,153,Canada,5,940.93
2025-09-27,532,Mexico,5,329.6
2025-08-24,996,Japan,5,2357.23
2025-11-19,173,Japan,1,306.12
2025-06-19,792,France,2,842.16
2025-09-16,180,India,1,318.33
2025-06-19,70,Canada,2,254.96
2025-09-02,91,UK,2,826.77
2025-06-12,303,India,4,1302.56
2025-09-06,337,UK,2,220.16
2025-07-02,439,France,1,182.0
2025-10-11,764,Canada,2,851.44
2025-11-18,638,Australia,4,1584.38
2025-10-02,377,USA,1,272.54
2025-06-16,120,Brazil,1,166.95
2025-11-24,424,Japan,4,1068.14
2025-10-20,710,Canada,2,394.17
2025-11-24,762,Australia,4,1420.27
2025-11-17,674,Australia,2,601.53
2025-07-12,479,Canada,5,625.4
2025-09-22,937,Germany,2,61.07
2025-10-11,814,UK,3,499.91
2025-07-14,888,India,5,1345.42
2025-09-19,67,Canada,4,127.84
2025-09-21,946,Japan,1,280.58
2025-10-27,270,Mexico,3,605.27
2025-06-02,131,Canada,2,734.56
2025-06-30,389,USA,2,256.75
2025-09-18,193,France,3,210.74
2025-06-25,63,USA,1,349.78
2025-06-21,295,Mexico,5,1677.36
2025-07-02,20,Mexico,3,1137.44
2025-09-20,38,Germany,5,1892.78
2025-10-30,345,Mexico,2,145.2
2025-06-26,238,Germany,1,43.85
2025-11-18,751,India,4,571.47
2025-06-16,356,UK,3,296.55
2025-06-09,724,UK,1,286.39
2025-11-02,148,Mexico,1,57.37
2025-07-29,185,Brazil,1,153.27
2025-08-05,775,Australia,3,677.25
2025-07-10,98,Mexico,1,278.74
2025-11-16,185,Brazil,2,958.59
2025-10-21,397,UK,3,486.17
2025-07-03,933,Germany,4,309.72
2025-09-26,321,India,2,778.65
2025-08-15,857,Germany,2,979.26
2025-06-17,718,India,4,889.32
2025-11-20,964,Brazil,2,914.44
2025-10-17,186,Brazil,1,345.08
2025-06-04,697,Japan,3,276.38
2025-06-19,173,Japan,1,408.21
2025-10-12,663,Japan,1,156.56
2025-09-26,185,Brazil,4,776.16
2025-10-29,978,UK,2,837.66
2025-06-08,128,Japan,2,449.08
2025-07-15,33,Mexico,1,267.57
2025-09-04,645,India,4,976.01
2025-07-23,912,Brazil,3,408.75
2025-07-17,77,Australia,4,887.33
2025-07-08,377,USA,3,257.43
2025-11-06,409,USA,1,131.78
2025-09-26,884,USA,2,226.38
2025-11-15,47,Brazil,5,594.64
2025-11-08,305,USA,2,857.9
2025-09-23,677,Japan,4,1978.96
2025-11-05,583,India,3,560.88
2025-10-12,211,India,2,161.47
2025-10-10,431,UK,5,54.27
2025-08-05,854,India,3,1402.35
2025-10-01,469,Germany,2,103.02
2025-07-19,878,India,3,934.38
2025-07-28,159,Brazil,1,367.88
2025-07-23,795,USA,3,930.7
2025-09-17,888,India,1,109.05
2025-08-22,880,Brazil,4,142.17
2025-09-18,447,Germany,3,774.12
2025-08-15,99,Australia,4,117.13
2025-09-21,800,Brazil,4,1884.02
2025-06-28,159,Brazil,4,349.73
2025-09-06,744,USA,2,599.23
2025-08-13,78,Australia,2,215.77
2025-09-14,805,Japan,4,410.41
2025-06-04,237,Australia,3,1090.79
2025-10-27,632,France,3,1074.65
2025-08-13,297,France,4,1688.86
2025-09-20,242,UK,5,1145.39
2025-09-28,581,UK,2,727.86
2025-09-15,489,Australia,1,310.6
2025-08-14,219,Australia,2,976.82
2025-07-11,550,Germany,1,405.56
2025-08-22,755,UK,1,118.77
2025-06-07,247,Mexico,4,1553.17
2025-09-30,983,USA,1,385.47
2025-07-26,850,India,1,344.7
2025-06-14,705,Mexico,2,973.58
2025-11-14,428,Brazil,5,57.75
2025-09-09,708,India,2,143.71
2025-10-25,194,Brazil,2,966.56
2025-08-08,636,India,4,544.03
2025-08-06,914,Brazil,2,873.14
2025-08-20,44,Japan,2,286.07
2025-11-02,168,Mexico,3,621.09
2025-10-26,253,USA,5,712.36
2025-06-24,335,USA,2,403.14
2025-06-22,805,Japan,5,358.87
2025-08-30,427,Brazil,3,289.76
2025-09-01,961,India,4,429.16
2025-09-22,639,UK,3,509.18
2025-06-02,248,Canada,4,1349.85
2025-11-27,301,Mexico,4,1708.16
2025-08-18,96,India,4,1679.02
2025-07-07,212,Brazil,5,877.13
2025-10-26,165,India,1,51.34
2025-09-18,29,UK,5,359.07
2025-08-03,813,India,4,1658.67
2025-06-12,223,India,1,179.16
2025-09-02,488,UK,4,1387.77
2025-11-22,902,UK,5,641.07
2025-07-03,258,France,2,288.99
2025-11-14,342,Germany,1,75.75
2025-11-28,217,Germany,2,332.89
2025-11-17,347,France,4,342.11
2025-09-22,767,India,3,481.99
2025-06-11,539,Japan,2,575.46
2025-09-17,120,Brazil,1,43.75
2025-11-11,79,France,4,112.49
2025-06-05,328,Mexico,3,1221.19
2025-11-15,173,Japan,1,171.14
2025-07-10,610,Brazil,2,681.59
2025-08-16,847,India,1,260.11
2025-06-20,896,Brazil,4,1434.77
2025-11-20,615,Germany,4,319.23
2025-06-09,357,Canada,3,1476.12
2025-09-24,487,UK,1,333.44
2025-11-01,930,France,4,1202.26
2025-11-03,785,Brazil,4,1301.12
2025-06-24,804,Australia,2,390.36
2025-07-09,307,Canada,2,276.8
2025-10-09,127,UK,2,595.19
2025-07-22,159,Brazil,4,502.03
2025-11-11,676,France,1,319.21
2025-11-13,329,India,5,1866.26
2025-09-09,599,France,2,746.18
2025-11-03,217,Germany,1,318.26
2025-06-17,307,Canada,5,299.97
2025-06-07,507,UK,2,408.25
2025-07-18,916,Canada,2,759.74
2025-07-17,909,Germany,1,87.23
2025-07-31,552,Germany,3,462.47
2025-07-20,69,India,4,891.04
2025-08-24,863,Brazil,5,1894.38
2025-10-06,136,Germany,4,1213.72
2025-07-24,324,Australia,4,1564.0
2025-08-07,996,Japan,4,1331.66
2025-08-08,68,Japan,1,234.65
2025-07-26,343,Australia,5,967.22
2025-08-11,389,USA,1,98.07
2025-07-19,193,France,1,327.96
2025-06-08,361,UK,2,559.78
2025-08-20,32,Canada,4,1083.92
2025-06-16,394,Brazil,4,707.62
2025-11-17,982,France,5,181.52
2025-06-03,522,Germany,2,811.04
2025-06-04,256,Australia,2,25.19
2025-07-28,7,Brazil,2,119.19
2025-07-30,276,France,2,425.64
2025-07-25,397,UK,2,670.67
2025-10-14,571,India,3,776.3
2025-11-04,185,Brazil,4,1149.4
2025-11-08,657,Brazil,4,1607.7
2025-08-23,860,Germany,1,350.77
2025-11-23,995,France,3,661.51
2025-09-16,651,India,2,973.18
2025-08-04,608,Japan,1,422.54
2025-09-04,803,Japan,3,653.28
2025-08-22,640,Mexico,2,439.24
2025-06-06,554,Australia,2,762.27
2025-10-14,145,France,1,300.44
2025-08-09,148,Mexico,1,393.8
2025-06-14,820,India,2,71.85
2025-08-31,819,Japan,1,179.09
2025-07-02,314,USA,2,449.18
2025-11-17,681,Japan,3,262.9
2025-09-18,918,India,4,786.21
2025-11-14,816,Brazil,1,351.24
2025-10-06,940,Canada,2,855.58
2025-07-02,64,India,2,948.46
2025-10-11,876,Mexico,5,1662.64
2025-10-31,71,Mexico,2,487.02
2025-11-15,821,India,3,807.37
2025-06-07,560,Brazil,3,795.84
2025-10-27,181,USA,2,489.4
2025-07-21,953,Australia,1,423.33
2025-09-20,122,France,1,284.3
2025-07-14,705,Mexico,4,1406.72
2025-09-16,20,Mexico,5,505.15
2025-09-01,201,India,2,246.39
2025-09-09,586,USA,1,199.14
2025-06-05,255,Germany,3,558.84
2025-06-04,526,Australia,3,1212.77
2025-07-07,284,Canada,1,38.01
2025-06-15,58,Australia,1,492.2
2025-06-04,941,Germany,5,286.72
2025-06-04,500,Australia,4,909.62
2025-10-18,895,UK,5,741.31
2025-08-26,267,Canada,3,240.97
2025-09-29,961,India,1,162.39
2025-07-01,354,Brazil,3,1353.38
2025-06-13,993,France,1,312.75
2025-08-01,867,Germany,3,1089.01
2025-06-13,946,Japan,5,492.21
2025-07-16,205,India,5,785.68
2025-07-30,165,India,2,53.7
2025-09-14,443,Japan,5,2195.94
2025-08-11,554,Australia,5,2073.0
2025-07-20,202,France,5,181.53
2025-07-10,750,USA,4,1492.9
2025-09-24,939,Japan,1,351.7
2025-07-29,881,Japan,2,747.07
2025-11-01,625,India,5,1987.19
2025-07-27,503,Brazil,1,385.04
2025-10-25,718,India,3,664.02
2025-07-19,872,France,2,438.01
2025-06-08,348,Germany,1,257.23
2025-07-30,809,Germany,2,961.1
2025-09-10,932,Canada,1,101.98
2025-08-08,631,Brazil,3,920.22
2025-06-02,274,Mexico,4,971.09
